                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.1838,                 1.5174,                 1.4482,                0.79626,                0.56762,                0.66729,                0.35884,                 2.1298,                 1.2635,                 1.3949,               0.008284,               0.008284,               0.008284
                     54,                 2.1939,                 1.5298,                 1.4584,                0.80659,                0.56687,                0.66583,                0.36312,                 2.0895,                 1.2556,                  1.377,               0.008251,               0.008251,               0.008251
                     55,                 2.1885,                 1.5176,                 1.4525,                0.77474,                0.57376,                0.66172,                0.36006,                 2.0983,                 1.2559,                 1.3814,               0.008218,               0.008218,               0.008218
                     56,                 2.1778,                 1.5163,                  1.448,                0.79234,                0.57389,                0.67073,                0.36657,                 2.0719,                 1.2462,                 1.3684,               0.008185,               0.008185,               0.008185
                     57,                 2.1707,                 1.5006,                 1.4434,                0.81343,                0.56092,                0.67176,                0.36721,                 2.0768,                 1.2345,                 1.3709,               0.008152,               0.008152,               0.008152
                     58,                 2.1643,                  1.489,                 1.4366,                0.81948,                0.55663,                0.66681,                0.36529,                 2.0716,                  1.234,                 1.3642,               0.008119,               0.008119,               0.008119
                     59,                 2.1667,                 1.4907,                 1.4378,                0.80724,                0.56669,                0.66952,                0.36828,                 2.0547,                 1.2261,                 1.3595,               0.008086,               0.008086,               0.008086
                     60,                 2.1593,                 1.4857,                 1.4379,                0.78018,                0.57701,                0.67361,                0.37214,                 2.0665,                  1.228,                 1.3622,               0.008053,               0.008053,               0.008053
                     61,                  2.156,                 1.4856,                 1.4385,                0.80705,                0.57136,                0.67144,                0.36807,                 2.0664,                 1.2294,                 1.3604,                0.00802,                0.00802,                0.00802
                     62,                 2.1552,                 1.4775,                 1.4377,                0.79564,                0.57332,                0.67621,                0.37518,                 2.0486,                 1.2138,                 1.3537,               0.007987,               0.007987,               0.007987
                     63,                 2.1646,                 1.4801,                 1.4379,                0.80082,                0.57432,                0.67424,                0.37269,                 2.0588,                 1.2226,                  1.361,               0.007954,               0.007954,               0.007954
                     64,                  2.154,                 1.4694,                 1.4348,                0.80426,                0.56918,                0.67527,                0.37349,                  2.055,                 1.2096,                 1.3598,               0.007921,               0.007921,               0.007921
                     65,                 2.1495,                 1.4687,                 1.4295,                0.80963,                0.57094,                0.67571,                 0.3718,                 2.0483,                   1.21,                 1.3548,               0.007888,               0.007888,               0.007888
                     66,                 2.1368,                 1.4566,                 1.4205,                 0.7893,                0.58235,                0.68038,                0.37737,                 2.0382,                  1.197,                  1.349,               0.007855,               0.007855,               0.007855
                     67,                 2.1516,                 1.4709,                 1.4357,                 0.8096,                0.57376,                0.68118,                 0.3784,                 2.0262,                 1.1976,                 1.3476,               0.007822,               0.007822,               0.007822
                     68,                  2.134,                 1.4492,                 1.4224,                0.81461,                0.57634,                0.68496,                0.38096,                 2.0253,                 1.1912,                 1.3434,               0.007789,               0.007789,               0.007789
                     69,                 2.1443,                 1.4465,                 1.4273,                0.79961,                0.58525,                0.68353,                 0.3813,                 2.0285,                 1.1923,                  1.344,               0.007756,               0.007756,               0.007756
                     70,                   2.13,                 1.4474,                 1.4223,                0.81109,                0.58062,                0.68449,                0.38245,                 2.0255,                 1.1912,                 1.3412,               0.007723,               0.007723,               0.007723
                     71,                  2.138,                 1.4468,                 1.4179,                0.81948,                0.57698,                0.68825,                0.38351,                 2.0153,                 1.1814,                 1.3374,                0.00769,                0.00769,                0.00769
                     72,                 2.1172,                 1.4446,                 1.4207,                 0.8099,                 0.5906,                0.69284,                0.38452,                 2.0188,                 1.1785,                 1.3358,               0.007657,               0.007657,               0.007657
                     73,                 2.1113,                 1.4288,                 1.4199,                0.80839,                0.58697,                0.69091,                0.38718,                  2.006,                 1.1689,                 1.3364,               0.007624,               0.007624,               0.007624
                     74,                 2.1192,                 1.4176,                 1.4137,                0.81731,                0.58366,                0.69127,                0.38729,                 1.9991,                 1.1765,                 1.3344,               0.007591,               0.007591,               0.007591
                     75,                 2.1126,                 1.4144,                 1.4098,                0.80872,                0.58404,                0.69141,                0.38836,                 1.9946,                 1.1743,                 1.3306,               0.007558,               0.007558,               0.007558
                     76,                 2.1044,                 1.4168,                 1.4077,                0.80621,                 0.5921,                0.69334,                0.38866,                 1.9969,                 1.1681,                 1.3311,               0.007525,               0.007525,               0.007525
                     77,                 2.0938,                 1.4186,                 1.4045,                0.80741,                  0.592,                0.69402,                0.39066,                 1.9946,                 1.1663,                 1.3277,               0.007492,               0.007492,               0.007492
                     78,                 2.1102,                 1.4237,                 1.4137,                0.81525,                0.59068,                0.69356,                0.39092,                 1.9912,                 1.1616,                 1.3253,               0.007459,               0.007459,               0.007459
                     79,                 2.1089,                 1.4251,                 1.4081,                0.80848,                0.59564,                0.69729,                0.39106,                 1.9979,                 1.1575,                 1.3288,               0.007426,               0.007426,               0.007426
                     80,                 2.1118,                 1.4131,                 1.4069,                 0.8156,                0.58834,                0.69512,                0.39136,                 1.9934,                 1.1562,                 1.3272,               0.007393,               0.007393,               0.007393
                     81,                  2.101,                  1.396,                 1.4013,                0.80769,                0.59265,                0.69634,                0.39151,                 1.9886,                 1.1564,                 1.3259,                0.00736,                0.00736,                0.00736
                     82,                 2.1053,                 1.4174,                 1.4076,                0.80903,                0.59353,                0.69856,                0.39365,                 1.9836,                 1.1508,                 1.3239,               0.007327,               0.007327,               0.007327
                     83,                 2.0834,                 1.3985,                  1.399,                  0.813,                0.59342,                0.69818,                 0.3941,                 1.9858,                 1.1444,                 1.3218,               0.007294,               0.007294,               0.007294
                     84,                 2.0873,                 1.3893,                 1.3988,                0.81688,                 0.5946,                0.69869,                0.39478,                 1.9849,                 1.1412,                 1.3233,               0.007261,               0.007261,               0.007261
                     85,                 2.1049,                 1.3943,                 1.4019,                0.81476,                0.59644,                0.69898,                0.39449,                 1.9806,                 1.1409,                 1.3207,               0.007228,               0.007228,               0.007228
                     86,                 2.0995,                  1.405,                 1.4022,                0.82814,                0.59307,                0.70212,                0.39516,                 1.9778,                 1.1368,                 1.3198,               0.007195,               0.007195,               0.007195
